subject,backbone,pipeline,fold,accuracy,auc,mean_accuracy,mean_auc,std_accuracy,p_empirical,p_vs_chance_method,pooled_test_correct,pooled_test_total,alpha_ratio,beta_ratio,lateralization_index
3,tangent,icalabel,0,0.5055555555555555,0.5098765432098765,0.4927777777777778,0.49235802469135803,0.019002923751652294,0.8114706850375583,binomial,1774,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,tangent,icalabel,1,0.4722222222222222,0.47547067901234563,0.4927777777777778,0.49235802469135803,0.019002923751652294,0.8114706850375583,binomial,1774,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,tangent,icalabel,2,0.5027777777777778,0.5113271604938272,0.4927777777777778,0.49235802469135803,0.019002923751652294,0.8114706850375583,binomial,1774,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,tangent,icalabel,3,0.4722222222222222,0.47229166666666667,0.4927777777777778,0.49235802469135803,0.019002923751652294,0.8114706850375583,binomial,1774,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,tangent,icalabel,4,0.5111111111111111,0.4928240740740741,0.4927777777777778,0.49235802469135803,0.019002923751652294,0.8114706850375583,binomial,1774,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,csp,gedai,0,0.5069444444444444,0.5181172839506173,0.5005555555555555,0.5032299382716049,0.018906242028872932,0.48006165435326764,binomial,1802,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,csp,gedai,1,0.5222222222222223,0.5082407407407408,0.5005555555555555,0.5032299382716049,0.018906242028872932,0.48006165435326764,binomial,1802,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,csp,gedai,2,0.4708333333333333,0.48098765432098767,0.5005555555555555,0.5032299382716049,0.018906242028872932,0.48006165435326764,binomial,1802,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,csp,gedai,3,0.49722222222222223,0.5060802469135803,0.5005555555555555,0.5032299382716049,0.018906242028872932,0.48006165435326764,binomial,1802,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,csp,gedai,4,0.5055555555555555,0.5027237654320987,0.5005555555555555,0.5032299382716049,0.018906242028872932,0.48006165435326764,binomial,1802,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,tangent,gedai,0,0.5902777777777778,0.6055864197530865,0.5672222222222222,0.5958981481481482,0.030327431253235938,3.7538272742858925e-16,binomial,2042,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,tangent,gedai,1,0.5513888888888889,0.5813888888888888,0.5672222222222222,0.5958981481481482,0.030327431253235938,3.7538272742858925e-16,binomial,2042,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,tangent,gedai,2,0.5333333333333333,0.5682021604938272,0.5672222222222222,0.5958981481481482,0.030327431253235938,3.7538272742858925e-16,binomial,2042,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,tangent,gedai,3,0.5541666666666667,0.593070987654321,0.5672222222222222,0.5958981481481482,0.030327431253235938,3.7538272742858925e-16,binomial,2042,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
3,tangent,gedai,4,0.6069444444444444,0.6312422839506171,0.5672222222222222,0.5958981481481482,0.030327431253235938,3.7538272742858925e-16,binomial,2042,3600,0.22668623512481204,1.2052352821977361,0.00034851436378731805
4,csp,baseline,0,0.5569444444444445,0.5750848765432099,0.5516666666666666,0.5764737654320988,0.012084131518975685,3.033443393920342e-10,binomial,1986,3600,1.0,1.0,-0.0018082053478145907
